,k,mean,pc1_mean,pc2_mean,pc3_mean,std,pc1_std,pc2_std,pc3_std
117,118,0.7675,0.7925000000000001,0.8125,0.7675,0.05099019513592785,0.09797958971132711,0.08403868156985808,0.05099019513592785
118,119,0.77,0.7925000000000001,0.8125,0.77,0.048476798574163295,0.09797958971132711,0.08403868156985808,0.048476798574163295
119,120,0.77,0.7925000000000001,0.8125,0.77,0.048476798574163295,0.09797958971132711,0.08403868156985808,0.048476798574163295
120,121,0.77,0.7925000000000001,0.8125,0.77,0.048476798574163295,0.09797958971132711,0.08403868156985808,0.048476798574163295
121,122,0.77,0.7925000000000001,0.8125,0.77,0.048476798574163295,0.09797958971132711,0.08403868156985808,0.048476798574163295
122,123,0.77,0.7925000000000001,0.8125,0.77,0.048476798574163295,0.09797958971132711,0.08403868156985808,0.048476798574163295
123,124,0.7675,0.7925000000000001,0.8125,0.7675,0.0465026880943457,0.09797958971132711,0.08403868156985808,0.0465026880943457
124,125,0.7675,0.7925000000000001,0.8125,0.7675,0.0465026880943457,0.09797958971132711,0.08403868156985808,0.0465026880943457
125,126,0.7649999999999999,0.7925000000000001,0.8125,0.7649999999999999,0.048989794855663564,0.09797958971132711,0.08403868156985808,0.048989794855663564
126,127,0.7675,0.7925000000000001,0.8125,0.7675,0.0465026880943457,0.09797958971132711,0.08403868156985808,0.0465026880943457
127,128,0.7625,0.7925000000000001,0.8125,0.7625,0.04743416490252569,0.09797958971132711,0.08403868156985808,0.04743416490252569
128,129,0.76,0.7925000000000001,0.8125,0.76,0.039843443626273053,0.09797958971132711,0.08403868156985808,0.039843443626273053
129,130,0.76,0.7925000000000001,0.8125,0.76,0.039843443626273053,0.09797958971132711,0.08403868156985808,0.039843443626273053
130,131,0.76,0.7925000000000001,0.8125,0.76,0.039843443626273053,0.09797958971132711,0.08403868156985808,0.039843443626273053
131,132,0.76,0.7925000000000001,0.8125,0.76,0.039843443626273053,0.09797958971132711,0.08403868156985808,0.039843443626273053
132,133,0.76,0.7925000000000001,0.8099999999999999,0.76,0.039843443626273053,0.09797958971132711,0.08038967595406767,0.039843443626273053
133,134,0.7625,0.7925000000000001,0.8074999999999999,0.7625,0.040311288741492736,0.09797958971132711,0.08200609733428366,0.040311288741492736
134,135,0.7625,0.7925000000000001,0.8074999999999999,0.7625,0.040311288741492736,0.09797958971132711,0.08200609733428366,0.040311288741492736
135,136,0.7575000000000001,0.7925000000000001,0.8074999999999999,0.7575000000000001,0.04227883631321938,0.09797958971132711,0.08200609733428366,0.04227883631321938
136,137,0.7575000000000001,0.7925000000000001,0.8074999999999999,0.7575000000000001,0.03999999999999999,0.09797958971132711,0.08200609733428366,0.03999999999999999
137,138,0.7525000000000001,0.7925000000000001,0.8074999999999999,0.7525000000000001,0.04138236339311713,0.09797958971132711,0.08200609733428366,0.04138236339311713
138,139,0.7525000000000001,0.7925000000000001,0.8074999999999999,0.7525000000000001,0.04286607049870562,0.09797958971132711,0.08200609733428366,0.04286607049870562
139,140,0.7550000000000001,0.7925000000000001,0.8074999999999999,0.7550000000000001,0.04301162633521314,0.09797958971132711,0.08200609733428366,0.04301162633521314
140,141,0.7525000000000001,0.7925000000000001,0.8074999999999999,0.7525000000000001,0.04286607049870562,0.09797958971132711,0.08200609733428366,0.04286607049870562
141,142,0.75,0.7925000000000001,0.8074999999999999,0.75,0.04609772228646443,0.09797958971132711,0.08200609733428366,0.04609772228646443
142,143,0.75,0.7925000000000001,0.8074999999999999,0.75,0.04609772228646443,0.09797958971132711,0.08200609733428366,0.04609772228646443
143,144,0.75,0.79,0.8074999999999999,0.75,0.04609772228646443,0.09433981132056604,0.08200609733428366,0.04609772228646443
144,145,0.75,0.79,0.8074999999999999,0.75,0.04609772228646443,0.09433981132056604,0.08200609733428366,0.04609772228646443
145,146,0.7474999999999999,0.79,0.8074999999999999,0.7474999999999999,0.044300112866673375,0.09433981132056604,0.08200609733428366,0.044300112866673375
146,147,0.75,0.79,0.8099999999999999,0.75,0.04609772228646443,0.09433981132056604,0.08154753215150048,0.04609772228646443
147,148,0.75,0.7925,0.8074999999999999,0.75,0.04609772228646443,0.09137833441248534,0.08200609733428366,0.04609772228646443
148,149,0.75,0.7925,0.8125,0.75,0.04609772228646443,0.09137833441248534,0.08139410298049855,0.04609772228646443
149,150,0.7474999999999999,0.7925,0.8125,0.7474999999999999,0.04636809247747851,0.09137833441248534,0.08139410298049855,0.04636809247747851
150,151,0.7474999999999999,0.7925,0.8125,0.7474999999999999,0.04636809247747851,0.09137833441248534,0.08139410298049855,0.04636809247747851
151,152,0.7474999999999999,0.7925,0.8099999999999999,0.7474999999999999,0.04636809247747851,0.09137833441248534,0.08154753215150048,0.04636809247747851
152,153,0.7449999999999999,0.7925,0.8125,0.7449999999999999,0.04444097208657795,0.09137833441248534,0.08139410298049855,0.04444097208657795
153,154,0.7474999999999999,0.7925,0.8125,0.7474999999999999,0.044300112866673375,0.09137833441248534,0.08139410298049855,0.044300112866673375
154,155,0.7474999999999999,0.7925,0.8099999999999999,0.7474999999999999,0.044300112866673375,0.09137833441248534,0.07960841664045332,0.044300112866673375
155,156,0.7474999999999999,0.7925,0.8099999999999999,0.7474999999999999,0.044300112866673375,0.09137833441248534,0.07960841664045332,0.044300112866673375
156,157,0.7449999999999999,0.7925,0.8099999999999999,0.7449999999999999,0.04301162633521313,0.09137833441248534,0.07960841664045332,0.04301162633521313
157,158,0.7424999999999999,0.7925,0.8099999999999999,0.7424999999999999,0.04513867521316947,0.09137833441248534,0.07960841664045332,0.04513867521316947
158,159,0.7424999999999999,0.7925,0.8099999999999999,0.7424999999999999,0.04513867521316947,0.09137833441248534,0.07960841664045332,0.04513867521316947
159,160,0.745,0.7925,0.8099999999999999,0.745,0.04716990566028301,0.09137833441248534,0.07960841664045332,0.04716990566028301
160,161,0.745,0.7925,0.8099999999999999,0.745,0.04716990566028301,0.09137833441248534,0.07960841664045332,0.04716990566028301
161,162,0.745,0.795,0.8099999999999999,0.745,0.04716990566028301,0.09506576670915771,0.07960841664045332,0.04716990566028301
162,163,0.745,0.795,0.8099999999999999,0.745,0.04716990566028301,0.09506576670915771,0.07960841664045332,0.04716990566028301
163,164,0.7475,0.795,0.8099999999999999,0.7475,0.05086747487343949,0.09506576670915771,0.07960841664045332,0.05086747487343949
164,165,0.7475,0.795,0.8099999999999999,0.7475,0.05086747487343949,0.09506576670915771,0.07960841664045332,0.05086747487343949
165,166,0.7475,0.795,0.8099999999999999,0.7475,0.05086747487343949,0.09506576670915771,0.07960841664045332,0.05086747487343949
